Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
GendreauDumasExtended,n100w120.005.txt,101,1200.0,870.0,SMA-Beam,726.0,870.0,870.0,33.0,0,0,0,0.0,1,294.69,294690.0,-99.98880179171333
GendreauDumasExtended,n100w140.001.txt,101,1200.0,1008.0,SMA-Beam,762.0,1008.0,1008.0,1284.0,399,0,0,0.0,1,200.57,200570.0,-99.3598245001745
GendreauDumasExtended,n100w140.002.txt,101,1200.0,1021.0,SMA-Beam,735.0,1021.0,1021.0,603.0,199,0,0,0.0,1,158.9,158900.0,-99.62051604782883
GendreauDumasExtended,n100w140.003.txt,101,1200.0,844.0,SMA-Beam,605.0,844.0,844.0,31.0,0,0,0,0.0,1,177.1,177100.0,-99.98249576510446
GendreauDumasExtended,n100w140.004.txt,101,1200.0,854.0,SMA-Beam,624.0,854.0,854.0,38.0,0,0,0,0.0,1,157.21,157210.0,-99.97582850963678
GendreauDumasExtended,n100w140.005.txt,101,1200.0,805.0,SMA-Beam,657.0,805.0,805.0,624.0,199,0,0,0.0,1,177.25,177250.0,-99.64795486600846
GendreauDumasExtended,n100w160.001.txt,101,1200.0,868.0,SMA-Beam,849.0,868.0,868.0,452055.0,170999,171,0,0.0,1,887.56,887560.0,-49.06766866465366
GendreauDumasExtended,n100w160.002.txt,101,1200.0,791.0,SMA-Beam,709.0,791.0,791.0,2341.0,799,0,0,0.0,1,513.75,513750.0,-99.54433090024331
GendreauDumasExtended,n100w160.003.txt,101,1200.0,935.0,SMA-Beam,569.0,935.0,935.0,49.0,0,0,0,0.0,1,129.39,129389.99999999999,-99.96212999459
GendreauDumasExtended,n100w160.004.txt,101,1200.0,814.0,SMA-Beam,685.0,814.0,814.0,1978.0,599,0,0,0.0,1,307.28,307280.0,-99.3562874251497
GendreauDumasExtended,n100w160.005.txt,101,1200.0,917.0,SMA-Beam,765.0,917.0,917.0,630.0,199,0,0,0.0,1,331.31,331310.0,-99.80984576378619
GendreauDumasExtended,n100w80.001.txt,101,1200.0,797.0,SMA-Beam,732.0,797.0,797.0,13328.0,4799,4,0,0.0,1,167.87,167870.0,-92.0605230237684
GendreauDumasExtended,n100w80.002.txt,101,1200.0,790.0,SMA-Beam,760.0,790.0,790.0,7039.0,2199,2,0,0.0,1,74.09,74090.0,-90.49939263058442
GendreauDumasExtended,n100w80.003.txt,101,1200.0,829.0,SMA-Beam,766.0,829.0,829.0,8472.0,2999,3,0,0.0,1,,,
GendreauDumasExtended,n100w80.004.txt,101,1200.0,854.0,SMA-Beam,788.0,854.0,854.0,5078.0,1599,1,0,0.0,1,131.93,131930.0,-96.15098916091867
GendreauDumasExtended,n100w80.005.txt,101,1200.0,759.0,SMA-Beam,712.0,759.0,759.0,6392.0,1999,2,0,0.0,1,252.8,252800.0,-97.47151898734178
GendreauDumasExtended,n20w120.001.txt,21,1200.0,337.0,SMA-Beam,339.0,345.0,345.0,1200004.0,3369875,16849,0,2.37,1,4.1,4100.0,29168.39024390244
GendreauDumasExtended,n20w120.002.txt,21,1200.0,246.0,SMA-Beam,246.0,246.0,246.0,3367.0,8767,43,0,0.0,1,5.79,5790.0,-41.848013816925736
GendreauDumasExtended,n20w120.003.txt,21,1200.0,347.0,SMA-Beam,340.0,347.0,347.0,190.0,399,2,0,0.0,1,3.19,3190.0,-94.04388714733543
GendreauDumasExtended,n20w120.004.txt,21,1200.0,353.0,SMA-Beam,335.0,353.0,353.0,213.0,449,2,0,0.0,1,5.69,5690.0,-96.25659050966608
GendreauDumasExtended,n20w120.005.txt,21,1200.0,315.0,SMA-Beam,310.0,315.0,315.0,279.0,601,3,0,0.0,1,7.86,7860.0,-96.45038167938931
GendreauDumasExtended,n20w140.001.txt,21,1200.0,230.0,SMA-Beam,227.0,230.0,230.0,1590.0,4096,20,0,0.0,1,5.63,5630.0,-71.75843694493783
GendreauDumasExtended,n20w140.002.txt,21,1200.0,307.0,SMA-Beam,300.0,307.0,307.0,108.0,199,1,0,0.0,1,3.57,3570.0,-96.97478991596638
